,masses,Exclusive_pelagic_soaring,Soaring_over_land,Wing_propelled_diving,Sallying_flight,Aerial_pursuit_hunting,Cluttered_flight,Migratory_flight,Escape_burst_flight,Flap_bounding,Flap_gliding,Hovering,Source
Monias_benschi,140,0,0,0,0,0,1,0,0,0,0,0,Seddon & Tobias; Lowe 1924; this bird only flies to reach roosts or evade predators. 
Myiobius_barbatus,11,0,0,0,1,0,1,0,0,1,0,0,Small passerine; passerine type flight assumed.
Myrmornis_torquata,45,0,0,0,0,0,1,0,0,1,0,0,"Small passerine; passerine type flight assumed. However, this bird seems unusual. "
Myrmothera_campanisona,49.875,0,0,0,0,0,1,0,0,1,0,0,Small passerine; passerine type flight assumed.
Neodrepanis_coruscans,25,0,0,0,1,0,1,0,0,1,0,0,"Small passerine; passerine type flight assumed. However, some sunbirds can hover. Most cannot."
Numida_meleagris,1479.75,0,0,0,0,0,1,0,1,0,0,0,"Close et al., 2012 list this bird as a ‘Poor Flier’"
Nyctibius_griseus,173.5,0,0,0,1,0,1,1,0,0,1,0,Most videos concentrate on this bird’s camouflage ability and do not feature flight behaviour.
Oceanodroma_leucorhoa,46,1,0,0,0,0,0,1,0,0,1,0,Birds of the World video footage.
Odontophorus_gujanensis,304,0,0,0,0,0,1,0,1,0,0,0,This bird practices burst flight. There is some footage of this bird in trees; it must also fly to access roosts. 
Opisthocomus_hoazin,797.5,0,0,0,0,0,1,0,0,0,0,0,Weak flight capacity
Ortalis_motmot,615,0,0,0,0,0,1,0,1,0,0,0,Bird appears to have poor flight capacity
Pandion_haliaetus,1510,1,1,0,0,0,1,1,0,0,0,0,"Bruderer et al., 2010: pandion"
Pedionomus_torquatus,67.25,0,0,0,0,0,0,0,0,0,0,0,Weak flight capacity
Pelagodroma_marina,54,1,0,0,0,0,0,1,0,0,1,0,Birds of the World video footage shows stacatto flap gliding around small waves to pick at surface life.
Pelecanoides_urinatrix,135.5,0,0,1,0,0,0,1,0,0,0,0,"Close et al., 2012"
Pelecanus_occidentalis,3500,1,0,0,0,0,0,1,0,0,0,0,This species does intersperse flaps with gliding but the flight path does not undulate; I do not consider this ‘flap-gliding’. 
Phaethon_rubricauda,315,1,0,0,0,1,0,1,0,0,1,0,"Close et al., 2012"
Phalacrocorax_brasilianus,2483,1,1,0,0,0,0,1,0,0,0,0,"Bruderer et al., 2010; phalacrocorax"
Phoenicopterus_ruber,3100,0,0,0,0,0,0,1,0,0,0,0,"Bruderer et al., 2010: phoenicopterus"
Phoeniculus_purpureus,70,0,0,0,0,0,1,0,0,1,1,0,Youtube videos show flap-bounding and gliding capability. 
Picus_canus,194,0,0,0,0,0,1,0,0,0,1,0,BirdID.no (Norwegian online bird guide)
Piprites_chloris,18,0,0,0,1,0,1,0,0,1,0,0,Small passerine; passerine type flight assumed.
Poecile_lugubris,11.6,0,0,0,1,0,1,0,0,1,0,0,Small passerine; passerine type flight assumed.
Porphyrio_porphyrio,796.5,0,0,0,0,0,1,0,0,0,0,0,Birds of the World video footage shows continuous flapping. I admit this is negative evidence. 
Probosciger_aterrimus,775,0,0,0,0,0,1,0,0,0,1,0,"Youtube video footage of other cockatoos shows flap-gliding capacity, "
Psittacus_erithacus,446,0,0,0,0,0,1,0,0,0,1,0,Assumption based on flight of other psittaciform birds 
Psittrichas_fulgidus,745,0,0,0,0,0,1,0,0,0,1,0,Assumption based on flight of other psittaciform birds 
Psophia_crepitans,1145,0,0,0,0,0,1,0,0,0,0,0,Bird appears quite massive and very terrestrialised.
Pterocles_bicinctus,180,0,0,0,0,0,0,0,0,0,0,0,"Bruderer et al., 2010; pterocles"
Ptilinopus_magnificus,165,0,0,0,0,0,1,0,0,0,1,0,Assumption based on flight of doves
Ptilonorhynchus_violaceus,222.75,0,0,0,0,0,1,0,0,0,1,0,"I think this bird, even though it is a passerine, is too massive to flap-bound. "
Puffinus_griseus,705,1,0,1,0,0,0,1,0,0,0,0,"Martin-Silverstone et al., 2015; This bird is mentioned, but I believe there is insufficient information to determine other flight modes besides soaring. "
Pycnonotus_macrotis,34,0,0,0,0,0,1,0,0,1,0,0,This bird’s name looks like it is miss-spelled; it should be the red-vented bulbul; Small passerine flight assumed
Rallus_longirostris,84,0,0,1,0,0,1,1,0,0,0,0,"Video footage of this bird mostly concerns shooting them, so it is difficult to observe sustained flight. "
Ramphastos_ambiguus,672.5,0,0,0,0,0,1,0,0,0,0,0,Toucan flights appear short and dominated by continuous flapping
Recurvirostra_americana,296.5,0,0,0,0,0,0,1,0,0,0,0,Video footage shows interspersed flapping and gliding but it is not undulating. 
Regulus_ignicapilla,6,0,0,0,0,0,1,1,0,1,0,0,"Tobalske 1999; Bruderer et al., 2010"
Rhynchocyclus_olivaceus,21.4,0,0,0,0,0,1,0,0,1,0,0,Small passerine; passerine type flight assumed.
Rollandia_rolland,336,0,0,0,0,0,0,1,0,0,0,0,Youtube videos show continuous flapping for grebes
Rollulus_rouloul,256.25,0,0,0,0,0,1,0,0,0,0,0,Continuous flapping
Rostratula_benghalensis,145,0,0,0,0,0,0,0,0,0,0,0,Continuous flapping. Occasional diving with glide. 
Rupicola_rupicola,242.75,0,0,0,0,0,1,0,0,0,0,0,Very low certainty. 
Rynchops_niger,302.25,0,0,0,0,0,0,1,0,0,0,0,Continuous flapping (Birds of the world video)
Sagittarius_serpentarius,3285,0,1,0,0,0,0,0,0,0,0,0,Estimated states based on very large mass
Sclerurus_mexicanus,27,0,0,0,0,0,1,0,0,1,0,0,Small passerine; passerine type flight assumed.
Scopus_umbretta,422.5,0,1,0,0,0,1,1,0,0,1,0,Video footage on youtube shows flap-gliding capacity
Spheniscus_humboldti,4350,0,0,1,0,0,0,1,0,0,0,0,Penguin
Sterna_hirundo,121.5,0,0,0,0,0,0,1,0,0,1,0,"Martin-Silverstone et al., 2015"
Streptoprocne_zonaris,96.375,0,0,0,0,1,1,1,0,0,1,0,Birds of the world video footage. 
Strix_varia,496.5,0,0,0,0,0,1,0,0,0,1,0,"Martin-Silverstone et al., 2015"
Morus_serrator,1502.5,1,0,1,0,0,0,0,0,0,0,0,"I think birds of the world video footage shows interspersed flapping and pelagic soaring assisted by wing, not ‘flap-gliding’"
Sylvia_melanocephala,19,0,0,0,1,0,1,1,0,1,0,0,"Bruderer et al., 2010; sylvia (I suspect species name is a mistake for this entry and it should be ‘borin’)"
Terenura_callinota,7,0,0,0,1,0,1,0,0,1,0,0,Small passerine; passerine type flight assumed.
Tigrisoma_lineatum,840,0,0,0,0,0,1,0,0,0,0,0,
Tityra_cayana,82.55,0,0,0,0,0,1,0,0,1,1,1,Birds of the World mentions ‘Hover-gleaning’ as a potential foraging strategy. ‘Sallying’ is also mentioned; I have not previously scored this bird as sallying and do not think the behaviour described matched Taylor’s criteria.
Tockus_camurus,202,0,0,0,0,0,1,0,0,0,1,0,Birds of the World; Lophoceros nastutus. Undulating flight has previously been described. 
Todus_mexicanus,6.025,0,0,0,1,0,1,0,0,1,0,1,"Birds of the World notes a rare hovering behaviour. Their flights are generally very short, which means their classification as bounders is uncertain. "
Topaza_pella,12.8,0,0,0,1,1,1,0,0,0,0,1,Hummingbird; hovering assumed
Treron_calvus,455.5,0,0,0,0,0,1,0,0,0,1,0,Treron capellei used because there is a mass difference between T.capellei and T.calvus
Tringa_solitaria,86,0,0,0,0,0,0,1,0,0,0,0,"Bruderer et al., 2010; tringa"
Trogon_elegans,87,0,0,0,0,0,1,0,0,0,1,0,Trogon melanurus used because there is a mass difference between T.melanurus and T.elegans. Most flights are short but longer flights undulate. 
Turdus_olivater,80.5,0,0,0,0,0,1,0,0,1,1,0,Tobalske 2001 (Turdus pilaris) for flap-bounding; Turdus merula used as match for flap-gliding flight. 
Turnix_ocellata,88.25,0,0,0,0,0,1,1,1,0,0,0,I think these are highly terrestrialised birds that practice continuous flapping. 
Tyrannus_albogularis,41,0,0,0,1,0,1,1,0,1,1,0,Small passerine; passerine type flight assumed.
Tyto_alba,550,0,0,0,0,0,1,1,0,0,1,0,Close and Rayfield 2012
Upupa_epops,67.5,0,0,0,1,0,1,1,0,0,1,0,"Bruderer et al., 2010"
Vultur_gryphus,11250,0,1,0,0,0,0,0,0,0,0,0,
