R_name,Prum_name,Genus,Species,Family,Order,Prum_genus,Prum_species,Prum_family,Prum_Order,Mass_M_(hbw_alive),Mass_F_(hbw_alive),obligate walk,facultative walk,Ground_running_specialised,unclear walking just in case,Documented_walking_ability,Terr0_Arb1,Nesting_substrate (ground 0),Hopping,Perching,Anisodactyl,Zygodactyl,Heterodactyl,Pamprodactyl,Hanging_Clinging,Scansorial,Raptorial,Digit_manip,Force_grip,Hold_down,Flightless,Swimming_ability,Surface_foot_propelled_swimming,Webbed_feet,Palmate0_Totipalmate1,Submerged_foot_propelled_swimming,SubFP swim type,Beak_use_Andrew,ndiet-Inv,ndiet-Vend,ndiet-Vect,ndiet-Vfish,ndiet-Vunk,ndiet-Scav,ndiet-Fruit,ndiet-Nect,ndiet-Seed,ndiet-PlantO,Diet-5Cat,ForStrat-watbelowsurf,ForStrat-wataroundsurf,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial,PelagicSpecialist,Exclusive_pelagic_soaring,Soaring_over_land,Ubiquitous ,Recorded,Ubiquitous ,Recorded,Wing_propelled_diving,Ubiquitous ,Recorded,Sallying_flight,Ubiquitous ,Recorded,Aerial_pursuit_hunting,Ubiquitous ,Recorded,Cluttered_flight,Recorded,Migratory_flight,Ubiquitous ,Recorded,Escape_burst_flight
Arenaria_interpres_FMNH_313992,Arenaria,Arenaria,interpres,Scolopacidae,Charadriiformes,Arenaria,interpres,Scolopacidae,Charadriiformes,137,137,1,1,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,NA,0,,Pecking/grazing,80,0,0,0,0,0,0,0,0,20,Invertebrate,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Aythya_ferina_NMHUK_1851.12.23.15,Aythya,Aythya,ferina,Anatidae,Anseriformes,Aythya,,,,912.5,778.5,0,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,foot,Probing,10,0,10,10,0,0,0,0,20,50,PlantSeed,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0
Balaeniceps_rex_NHMUK_S1952.1.100,Balaeniceps,Balaeniceps,rex,Balaenicipitidae,Pelecaniformes,Balaeniceps,rex,Balaenicipitidae,Pelecaniformes,6700,5130,1,1,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,0,10,20,70,0,0,0,0,0,0,VertFishScav,0,100,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Balearica_pavonina_NHMUK_1859.10.26.5_ROGER,Balearica,Balearica,pavonina,Gruidae,Gruiformes,Balearica,regulorum,Gruidae,Gruiformes,3500,3500,1,1,1,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,,Pecking/grazing,30,0,20,10,0,0,0,0,10,30,Omnivore,0,50,50,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Barnardius_zonarius_NHMUK_S_1983.5.1,Barnardius,Barnardius,zonarius,Psittaculidae,Psittaciformes,Barnardius,zonarius,Psittaculidae,Psittaciformes,152.5,152.5,0,1,0,,1,2,2,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,NA,0,,Tearing,10,0,0,0,0,0,60,10,10,10,FruiNect,0,0,0,0,60,40,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Bonasa_umbellus_FMNH_348972,Bonasa,Bonasa,umbellus,Phasianidae,Galliformes,Bonasa,umbellus,Phasianidae,Galliformes,720,540,1,1,0,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,10,0,0,0,0,0,20,0,0,70,PlantSeed,0,0,60,40,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,1
Bucco_capensis_FMNH_330305,Bucco,Bucco,capensis,Bucconidae,Piciformes,Bucco,capensis,Bucconidae,Piciformes,54,54,0,0,0,unclear,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,30,0,0,0,70,0,0,0,0,0,VertFishScav,0,0,50,50,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Bucorvus_abyssinicus_NHMUK_S2006.31.20_,Bucorvus,Bucorvus,abyssinicus,Bucorvidae,Bucerotiformes,Bucorvus,leadbeateri,Bucorvidae,Bucerotiformes,4000,4000,1,1,1,,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,30,0,40,0,0,10,10,0,10,0,Omnivore,0,0,100,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,0,NA,NA,0
Burhinus_senegalensis_FMNH_313704,Burhinus,Burhinus,senegalensis,Burhinidae, Charadriiformes,Burhinus,oedicnemus,Burhinidae, Charadriiformes,334.5,334.5,1,1,1,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Grabbing/gleaning,40,30,30,0,0,0,0,0,0,0,VertFishScav,0,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Buteo_rufofuscus_NHMUK_1862.1.18.1,Buteo,Buteo,rufofuscus,Accipitridae,Accipitriformes,Buteo,jamaicensis,Accipitridae,Accipitriformes,972.5,1422.5,0,1,0,,1,2,2,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,NA,0,,Tearing,10,40,40,0,0,10,0,0,0,0,VertFishScav,0,0,40,30,20,10,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
Calandrella_cinerea_NHMUK_S1961.13.34,Calandrella,Calandrella,cinerea,Alaudidae,Passeriformes,Calandrella,brachydactyla,Alaudidae,Passeriformes,23,23,0,1,0,,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,,Pecking/grazing,40,0,0,0,0,0,0,0,60,0,PlantSeed,0,0,100,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,1,NA,NA,0
